[2024-12-28 12:06:00,367: INFO: main: welcome to the first logging]
[2024-12-28 21:10:32,431: INFO: common: yaml file -> schema.yaml loadded successfuly]
[2024-12-28 21:10:32,436: INFO: common: yaml file -> params.yaml loadded successfuly]
[2024-12-28 21:10:32,440: INFO: common: created directory at artificts]
[2024-12-28 21:10:32,446: INFO: common: created directory at artificts/data_ingestion]
[2024-12-28 21:15:05,027: INFO: common: yaml file -> config/config.yaml loadded successfuly]
[2024-12-28 21:15:05,033: INFO: common: yaml file -> schema.yaml loadded successfuly]
[2024-12-28 21:15:05,039: INFO: common: yaml file -> params.yaml loadded successfuly]
[2024-12-28 21:15:05,045: INFO: common: created directory at artificts]
[2024-12-28 21:15:05,050: INFO: common: created directory at artificts/data_ingestion]
[2024-12-28 21:15:06,276: INFO: 336854459: artificts/data_ingestion/data.zip successfully downloded!]
